sigma,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.8107207207207207,0,3,[0.04793387 0.11315638 0.21739159 1.        ],[1.],"[1.0, 0.21739158923465304, 0.11315638141186975, 0.04793386677997823]",,,,,,,
0.8107207207207207,1,0,[1.],[-0.21739159  1.        ],"[1.0, 0.21739158923465304, 0.04725910306996812, 0.01027373152218464]",(4.5999939718026415+0j),(-4.5999939718026415+0j),[1],,,0j,[0.]
0.8107207207207207,1,1,[-0.30312708  1.        ],[-0.52051867  1.        ],"[1.0, 0.21739158923465307, 0.11315638141186977, 0.05890000942220206]",(1.9211606674075683+0j),(-0.8023615536494981+0j),[1],,,(0.582355829337162+0j),[0.58235583]
0.8107207207207207,1,2,[ 0.02106772 -0.20621569  1.        ],[-0.42360728  1.        ],"[1.0, 0.21739158923465304, 0.11315638141186975, 0.04793386677997824]",(2.360677095617387+0j),(-1.4886370022966555+0j),[1],,,(0.25199640691503467+0j),[-0.04973409  0.36940253]
0.8107207207207207,2,0,[1.],[-0.06589728 -0.21739159  1.        ],"[1.0, 0.21739158923465304, 0.11315638141186976, 0.0389247596521532]",(2.58088085057708+0j),(-1.79360088721031+0j),[1],(-5.8798272517734675+0j),(1.79360088721031+0j),(0.211991817412069+0j),[0.]
0.8107207207207207,2,1,[-0.1367144  1.       ],[-0.03617672 -0.35410599  1.        ],"[1.0, 0.21739158923465304, 0.11315638141186975, 0.04793386677997822]",(2.288812809930363+0j),(-1.3220585258775726+0j),[1],(-12.077041936909307+0j),(5.101130149453992+0j),(0.3550871312113318+0j),[0.]
0.8107207207207207,3,0,[1.],[-0.00900911 -0.06589728 -0.21739159  1.        ],"[1.0, 0.21739158923465304, 0.11315638141186976, 0.04793386677997824]",(2.3622324074469265+0j),(-1.4715896695510489-0j),[1],(-4.8383753198002895+4.85582761461353j),(0.7357948347755247-1.0910951527621118j),(0.14048319126854458+0j),[0.]
0.9108108108108108,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]",,,,,,,
0.9108108108108108,0,1,[0.21383876 1.        ],[1.],"[1.0, 0.2138387600657064, 0.0, 0.0]",,,,,,,
0.9108108108108108,0,2,[0.10993618 0.21383876 1.        ],[1.],"[1.0, 0.2138387600657064, 0.10993618145960384, 0.0]",,,,,,,
0.9108108108108108,0,3,[0.0460372  0.10993618 0.21383876 1.        ],[1.],"[1.0, 0.2138387600657064, 0.10993618145960384, 0.04603719569690604]",,,,,,,
0.9108108108108108,1,0,[1.],[-0.21383876  1.        ],"[1.0, 0.2138387600657064, 0.04572701530643875, 0.00977820825463444]",(4.676420681137176+0j),(-4.676420681137176+0j),[1],,,0j,[0.]
0.9108108108108108,1,1,[-0.30026907  1.        ],[-0.51410783  1.        ],"[1.0, 0.2138387600657064, 0.10993618145960384, 0.05651905197264181]",(1.9451172237074805+0j),(-0.8090548887580957+0j),[1],,,(0.5840585446999431+0j),[0.58405854]
0.9108108108108108,1,2,[ 0.02038844 -0.20492415  1.        ],[-0.41876291  1.        ],"[1.0, 0.2138387600657064, 0.10993618145960385, 0.046037195696906064]",(2.387986057695346+0j),(-1.4970489759685008+0j),[1],,,(0.25682679461746755+0j),[-0.04868731  0.37309141]
0.9108108108108108,2,0,[1.],[-0.06420917 -0.21383876  1.        ],"[1.0, 0.2138387600657064, 0.10993618145960385, 0.03723902520472593]",(2.6181552250768845+0j),(-1.8179904737285768+0j),[1],(-5.948501542853597+0j),(1.8179904737285768+0j),(0.21221703203217793+0j),[0.]
0.9108108108108108,2,1,[-0.13702359  1.        ],[-0.03490821 -0.35086235  1.        ],"[1.0, 0.2138387600657064, 0.10993618145960385, 0.046037195696906064]",(2.3163124980769396+0j),(-1.3317177253875716+0j),[1],(-12.3673101293693+0j),(5.256971550995282+0j),(0.3580159804140628+0j),[0.]
0.9108108108108108,3,0,[1.],[-0.00879817 -0.06420917 -0.21383876  1.        ],"[1.0, 0.2138387600657064, 0.10993618145960385, 0.04603719569690606]",(2.393042464470366+0j),(-1.4874279525132683-0j),[1],(-4.845527932561954+4.900701921307763j),(0.743713976256634-1.0985010022715054j),(0.14090196616545272+0j),[0.]
1.010900900900901,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]",,,,,,,
