sigma,residues,poles,poly_type,pole_2,res_2,remainder
0.0705480231071864,-4.050815470445399,4.050815470445399,1_0,,,0.0
0.0705480231071864,-0.7544228982013728,1.7481498640827033,1_1,,,0.5684449521739163
0.0705480231071864,-1.4283304747317371,2.162635234212418,1_2,,,0.21295983394870668
0.0705480231071864,-1.6178939323617714,2.312268738808639,2_0,(-5.387588270448802+0j),(1.6178939323617714+0j),0.21011999708781579
0.0705480231071864,-1.2516361532478486,2.089254961316978,2_1,(-10.05291848531863+0j),(4.030390620195427+0j),0.3319332109616817
0.0705480231071864,-1.3580590049015375,2.140017719835742,3_0,(-4.8492398195065185+4.525978018624345j),(0.6790295024507685-1.048593707240841j),0.13689960244612676
0.0774263682681127,,,0_0,,,
0.0774263682681127,,,0_1,,,
0.0774263682681127,,,0_2,,,
0.0774263682681127,,,0_3,,,
0.0774263682681127,-4.055784573938078,4.055784573938078,1_0,,,0.0
0.0774263682681127,-0.7548555081598172,1.7497232139817929,1_1,,,0.5685857613776438
0.0774263682681127,-1.4288740151604902,2.1644425205565603,1_2,,,0.21335204738908853
0.0774263682681127,-1.6194878654472735,2.314706112354431,2_0,(-5.392031175406195+0j),(1.6194878654472735+0j),0.2101392333717209
0.0774263682681127,-1.2522820101540806,2.091077434219738,2_1,(-10.070751984975225+0j),(4.039688126159405+0j),0.3321612223719881
0.0774263682681127,-1.3590832488249436,2.1420353902406983,3_0,(-4.848494199259068+4.529066412703721j),(0.6795416244124717-1.0488598311183288j),0.13693743139183148
0.0849753435908644,,,0_0,,,
0.0849753435908644,,,0_1,,,
0.0849753435908644,,,0_2,,,
0.0849753435908644,,,0_3,,,
0.0849753435908644,-4.061241146346459,4.061241146346459,1_0,,,0.0
0.0849753435908644,-0.7553305755956322,1.751450716606818,1_1,,,0.5687400345132315
0.0849753435908644,-1.429472531348269,2.166427556225697,1_2,,,0.21378103161424258
0.0849753435908644,-1.6212380632601198,2.317382426812573,2_0,(-5.396910172922156+0j),(1.6212380632601198+0j),0.21016030210156525
0.0849753435908644,-1.252991867330557,2.093078833868203,2_1,(-10.090326640037969+0j),(4.049896144015598+0j),0.33241084791025544
0.0849753435908644,-1.3602084868687945,2.144251155406484,3_0,(-4.847701540944947+4.532455284179697j),(0.6801042434343971-1.049156891912241j),0.13697879291051832
0.093260334688322,,,0_0,,,
0.093260334688322,,,0_1,,,
0.093260334688322,,,0_2,,,
0.093260334688322,,,0_3,,,
0.093260334688322,-4.067233322974899,4.067233322974899,1_0,,,0.0
0.093260334688322,-0.755852316620906,1.7533475780370313,1_1,,,0.5689090251762151
0.093260334688322,-1.4301296534942267,2.1686069180304433,1_2,,,0.21425113084055983
0.093260334688322,-1.6231599517859874,2.320321259236589,2_0,(-5.402268460713917+0j),(1.6231599517859874+0j),0.21018337250167815
0.093260334688322,-1.2537710570236293,2.0952761622352156,2_1,(-10.111837592880782+0j),(4.061117627760411+0j),0.3326845075117284
0.093260334688322,-1.3614442214034044,2.1466841908372287,3_0,(-4.846850590167187+4.536172651189831j),(0.6807221107017022-1.0494868964351216j),0.13702406140666434
0.1023531021899026,,,0_0,,,
0.1023531021899026,,,0_1,,,
0.1023531021899026,,,0_2,,,
0.1023531021899026,,,0_3,,,
0.1023531021899026,-4.073814055484618,4.073814055484618,1_0,,,0.0
0.1023531021899026,-0.7564253287443595,1.755430470330097,1_1,,,0.5690941102314814
0.1023531021899026,-1.4308512761724872,2.170999765947083,1_2,,,0.21476613637045303
0.1023531021899026,-1.6252704637840905,2.3235485057088523,2_0,(-5.40815338699302+0j),(1.6252704637840905+0j),0.21020863017471222
0.1023531021899026,-1.2546264197815973,2.097688709373075,2_1,(-10.135477396996155+0j),(4.073454150863022+0j),0.3329844551642414
0.1023531021899026,-1.3628014049038641,2.1493559389227697,3_0,(-4.845940091185328+4.540250209018497j),(0.6814007024519321-1.0498539528299047j),0.1370735891605291
0.1123324032978027,,,0_0,,,
0.1123324032978027,,,0_1,,,
0.1123324032978027,,,0_2,,,
0.1123324032978027,,,0_3,,,
0.1123324032978027,-4.081041606345094,4.081041606345094,1_0,,,0.0
0.1123324032978027,-0.7570546894582348,1.7577177492298701,1_1,,,0.5692967828367597
0.1123324032978027,-1.431643930236194,2.1736271946867753,1_2,,,0.21533016260815785
0.1123324032978027,-1.6275882396922474,2.3270926661299542,2_0,(-5.414617138815896+0j),(1.6275882396922474+0j),0.21023627605525205
