sigma,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,rel_err,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.0210490414451202,1,0,[1.],[-0.24905776  1.        ],"[1.0, 0.2490577644746919, 0.062029770045131105, 0.015448995858319563]","[1, 0.2490577644746919, 0.1433965103297208, 0.06670736659611361]","[0.0, 0.0, 0.0813667402845897, 0.051258370737794046]",0.0813667402845897,0.5674248285226602,4.015132803063505,-4.015132803063505,[1],,,0.0,[]
0.0210490414451202,1,1,[-0.32669827  1.        ],[-0.57575603  1.        ],"[1.0, 0.2490577644746919, 0.1433965103297208, 0.08256140585743994]","[1, 0.2490577644746919, 0.1433965103297208, 0.06670736659611361]","[0.0, 0.0, 0.0, -0.015854039261326336]",-0.015854039261326336,0.23766549438709214,1.7368467607894877,-0.7513167853783749,[1],,,0.5674248285226602,[0.56742483]
0.0210490414451202,2,0,[1.],[-0.08136674 -0.24905776  1.        ],"[1.0, 0.2490577644746919, 0.1433965103297208, 0.0559790327340651]","[1, 0.2490577644746919, 0.1433965103297208, 0.06670736659611361]","[0.0, 0.0, 0.0, 0.010728333862048509]",0.010728333862048509,0.1608268233252899,2.294761892491163,-1.6064454335294238,[1],-5.35569027187054,1.6064454335294238,0.20998045592818285,[]
0.0231012970008316,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2489661963186023, 0.1433051757138406, 0.0666479843607024]","[0.0, 0.2489661963186023, 0.1433051757138406, 0.0666479843607024]",0.2489661963186023,1.0,,,,,,,
0.0231012970008316,0,1,[0.2489662 1.       ],[1.],"[1.0, 0.2489661963186023, 0.0, 0.0]","[1, 0.2489661963186023, 0.1433051757138406, 0.0666479843607024]","[0.0, 0.0, 0.1433051757138406, 0.0666479843607024]",0.1433051757138406,1.0,,,,,,,
0.0231012970008316,0,2,[0.14330518 0.2489662  1.        ],[1.],"[1.0, 0.2489661963186023, 0.1433051757138406, 0.0]","[1, 0.2489661963186023, 0.1433051757138406, 0.0666479843607024]","[0.0, 0.0, 0.0, 0.0666479843607024]",0.0666479843607024,1.0,,,,,,,
0.0231012970008316,1,0,[1.],[-0.2489662  1.       ],"[1.0, 0.2489661963186023, 0.06198416690935283, 0.015431962267398949]","[1, 0.2489661963186023, 0.1433051757138406, 0.0666479843607024]","[0.0, 0.0, 0.08132100880448778, 0.051216022093303455]",0.08132100880448778,0.5674673534951306,4.016609542928868,-4.016609542928868,[1],,,0.0,[]
0.0231012970008316,1,1,[-0.32663474  1.        ],[-0.57560094  1.        ],"[1.0, 0.24896619631860228, 0.1433051757138406, 0.08248659332086318]","[1, 0.2489661963186023, 0.1433051757138406, 0.0666479843607024]","[0.0, 2.7755575615628914e-17, 0.0, -0.015838608960160774]",-0.015838608960160774,0.23764573095626398,1.7373147555797372,-0.7514453490428642,[1],,,0.5674673534951306,[0.56746735]
0.0231012970008316,2,0,[1.],[-0.08132101 -0.2489662   1.        ],"[1.0, 0.2489661963186023, 0.1433051757138406, 0.055924326753088734]","[1, 0.2489661963186023, 0.1433051757138406, 0.0666479843607024]","[0.0, 0.0, 0.0, 0.010723657607613672]",0.010723657607613672,0.16089995384671607,2.295486594952394,-1.6069193496848204,[1],-5.357010301786474,1.6069193496848204,0.20998627916721058,[]
0.0253536449397011,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2488657612695191, 0.1432050247649734, 0.06658311520002899]","[0.0, 0.2488657612695191, 0.1432050247649734, 0.06658311520002899]",0.2488657612695191,1.0,,,,,,,
