s	width	allele counts	se_f	f	n	f_per_kb
-0.05	1	5	0.5659532050470522	0.27000000000000013	100	2.7000000000000013e-6
-0.05	1	6	0.3684529491774708	0.16	100	1.6000000000000001e-6
-0.05	1	7	0.28762349126466125	0.08999999999999998	100	8.999999999999997e-7
-0.05	1	8	0.3074824459143223	0.07999999999999997	100	7.999999999999998e-7
-0.05	1	9	0.2876234912646614	0.09	100	9e-7
-0.05	1	10	0.277797979063414	0.05999999999999997	100	5.999999999999997e-7
-0.05	1	20	0.08747871313939898	0.068	100	6.800000000000001e-7
-0.05	1	50	0.026957588171883866	0.021666666666666667	100	2.1666666666666667e-7
-0.05	1	80	0.017533037597843915	0.006333333333333336	100	6.333333333333336e-8
-0.05	1	100	0.010952145677879502	0.0024999999999999996	100	2.5e-8
-0.05	1	200	0.003265986323710904	0.0012000000000000001	100	1.2e-8
-0.05	1	500	4.690176471209661e-4	6.666666666666663e-5	100	6.666666666666663e-10
-0.05	1	800	0	0	100	0
-0.05	1	1000	0	0	100	0
-0.05	1.1	2	1.116044602852214	1.1300000000000001	100	1.1300000000000002e-5
-0.05	1.1	3	0.7849596270902199	0.6999999999999998	100	6.999999999999998e-6
-0.05	1.1	4	0.5839607015973769	0.32	100	3.2000000000000003e-6
-0.05	1.1	5	0.4836728170358494	0.22	100	2.1999999999999997e-6
-0.05	1.1	6	0.4197161137740803	0.15999999999999998	100	1.6e-6
-0.05	1.1	7	0.4191140246479062	0.19000000000000003	100	1.9000000000000004e-6
-0.05	1.1	8	0.4264014327112205	0.19999999999999998	100	2e-6
-0.05	1.1	9	0.35618630921006356	0.11999999999999997	100	1.1999999999999995e-6
-0.05	1.1	10	0.3074824459143231	0.07999999999999999	100	8e-7
-0.05	1.1	20	0.08841477092189809	0.069	100	6.900000000000001e-7
-0.05	1.1	50	0.030475100689991073	0.021666666666666667	100	2.1666666666666667e-7
-0.05	1.1	80	0.017082358106351267	0.006666666666666668	100	6.666666666666668e-8
-0.05	1.1	100	0.013632996217214527	0.003999999999999998	100	3.999999999999999e-8
-0.05	1.1	200	0.0023868325657594204	6.000000000000002e-4	100	6.000000000000002e-9
-0.05	1.1	500	4.690176471209661e-4	6.666666666666663e-5	100	6.666666666666663e-10
-0.05	1.1	800	0	0	100	0
-0.05	1.1	1000	0	0	100	0
-0.05	1.2000000000000002	2	0.9532506851226853	1.02	100	1.02e-5
-0.05	1.2000000000000002	3	0.9523495665824062	0.8900000000000001	100	8.900000000000001e-6
-0.05	1.2000000000000002	4	0.6046119049072352	0.41000000000000003	100	4.1000000000000006e-6
