sigma,residues,poles,poly_type,pole_2,res_2,remainder
0.5857020818056667,-4.7976211249950325,5.317896611842553,2_0,(-49.037968865507366+0j),(4.7976211249950325+0j),0.08826317238926497
0.6579332246575679,,,0_0,,,
0.6579332246575679,,,0_1,,,
0.6579332246575679,,,0_2,,,
0.6579332246575679,-6.298473118651348,6.298473118651348,1_0,,,0.0
0.6579332246575679,-4.8183166533912845,5.508905328514471,1_1,,,0.1253586028332438
0.6579332246575679,-5.021449675502148,5.587929595093306,2_0,(-49.53310131850981+0j),(5.021449675502148+0j),0.09109861684867224
0.739072203352578,,,0_0,,,
0.739072203352578,,,0_1,,,
0.739072203352578,,,0_2,,,
0.739072203352578,-6.668573718966042,6.668573718966042,1_0,,,0.0
0.739072203352578,-5.035396622641907,5.794731536690909,1_1,,,0.1310388426523417
0.739072203352578,-5.266710128122371,5.885313696058753,2_0,(-50.10679352143292+0j),(5.266710128122371+0j),0.09406165243370365
0.8302175681319743,,,0_0,,,
0.8302175681319743,,,0_1,,,
0.8302175681319743,,,0_2,,,
0.8302175681319743,-7.080662466895682,7.080662466895682,1_0,,,0.0
0.8302175681319743,-5.2720218718133545,6.109779651706102,1_1,,,0.13711751121152319
0.8302175681319743,-5.5364574478625395,6.214062593602061,2_0,(-50.77277429805318+0j),(5.5364574478625395+0j),0.09715326819048735
0.93260334688322,,,0_0,,,
0.93260334688322,,,0_1,,,
0.93260334688322,,,0_2,,,
0.93260334688322,-7.541442210442168,7.541442210442168,1_0,,,0.0
0.93260334688322,-5.53079055109243,6.458338588145031,1_1,,,0.1436202243647018
0.93260334688322,-5.834302393198937,6.578931587042553,2_0,(-51.54710105421353+0j),(5.834302393198937+0j),0.10037331171744082
1.0476157527896652,,,0_0,,,
1.0476157527896652,,,0_1,,,
1.0476157527896652,,,0_2,,,
1.0476157527896652,-8.058940384662383,8.058940384662383,1_0,,,0.0
1.0476157527896652,-5.814774572409564,6.845503752778124,1_1,,,0.15057024546225065
1.0476157527896652,-6.164553607992524,6.98559299853075,2_0,(-52.44944763835305+0j),(6.164553607992524+0j),0.10371917882002703
1.1768119524349978,,,0_0,,,
1.1768119524349978,,,0_1,,,
1.1768119524349978,,,0_2,,,
1.1768119524349978,-8.642812865388862,8.642812865388862,1_0,,,0.0
1.1768119524349978,-6.127584124106002,7.277332128024383,1_1,,,0.15799031618892315
1.1768119524349978,-6.532346164439026,7.440824225988692,2_0,(-53.502711457875925+0j),(6.532346164439026+0j),0.10718685896933491
1.3219411484660286,,,0_0,,,
1.3219411484660286,,,0_1,,,
1.3219411484660286,,,0_2,,,
1.3219411484660286,-9.304725618774116,9.304725618774116,1_0,,,0.0
1.3219411484660286,-6.473496297572092,7.761063512371126,1_1,,,0.1659008733463722
1.3219411484660286,-6.943838468527565,7.9527657143846975,2_0,(-54.73409576903349+0j),(6.943838468527565+0j),0.11077023644522922
1.484968262254465,,,0_0,,,
1.484968262254465,,,0_1,,,
1.484968262254465,,,0_2,,,
1.484968262254465,-10.058835756881203,10.058835756881203,1_0,,,0.0
1.484968262254465,-6.857607453918855,8.305392649606281,1_1,,,0.1743186935004281
1.484968262254465,-7.40645269707182,8.53124085724369,2_0,(-56.17611750718189+0j),(7.40645269707182+0j),0.1144607488897846
1.6681005372000592,,,0_0,,,
1.6681005372000592,,,0_1,,,
1.6681005372000592,,,0_2,,,
1.6681005372000592,-10.92239982054844,10.92239982054844,1_0,,,0.0
1.6681005372000592,-7.286018285967087,8.9208074084782,1_1,,,0.18325573545702104
1.6681005372000592,-7.929172815650222,9.18815606634919,2_0,(-57.86770973068947+0j),(7.929172815650222+0j),0.11824726623692915
1.873817422860383,,,0_0,,,
1.873817422860383,,,0_1,,,
1.873817422860383,,,0_2,,,
1.873817422860383,-11.916545257470956,11.916545257470956,1_0,,,0.0
1.873817422860383,-7.7660695817612675,9.620016613484962,1_1,,,0.19271765384738573
1.873817422860383,-8.522922651038487,9.938007579418542,2_0,(-59.85567947627089+0j),(8.522922651038487+0j),0.12211595361394102
2.10490414451202,,,0_0,,,
2.10490414451202,,,0_1,,,
2.10490414451202,,,0_2,,,
2.10490414451202,-13.06725149049511,13.06725149049511,1_0,,,0.0
2.10490414451202,-8.306630807947172,10.418485197289494,1_1,,,0.20270263376596698
2.10490414451202,-9.20103793748601,10.798519310750361,2_0,(-62.19639709717464+0j),(9.20103793748601+0j),0.12605039351051384
2.3644894126454066,,,0_0,,,
2.3644894126454066,,,0_1,,,
2.3644894126454066,,,0_2,,,
2.3644894126454066,-14.406600417365395,14.406600417365395,1_0,,,0.0
2.3644894126454066,-8.91849081566366,11.335128296901166,1_1,,,0.2131989526663032
2.3644894126454066,-9.9798826980527,11.791465096672571,2_0,(-64.95836931989729+0j),(9.9798826980527+0j),0.13003132546039864
2.656087782946687,,,0_0,,,
2.656087782946687,,,0_1,,,
2.656087782946687,,,0_2,,,
2.656087782946687,-15.974373329758697,15.974373329758697,1_0,,,0.0
2.656087782946687,-9.614828042351391,12.393177665552694,1_1,,,0.22418379677746647
2.656087782946687,-10.879614757934776,12.943703353085827,2_0,(-68.22502985258589+0j),(10.879614757934776+0j),0.13403701558785147
2.9836472402833403,,,0_0,,,
2.9836472402833403,,,0_1,,,
2.9836472402833403,,,0_2,,,
2.9836472402833403,-17.82009304563279,17.82009304563279,1_0,,,0.0
2.9836472402833403,-10.411827077082494,13.621296828446583,1_1,,,0.23562145306616208
2.9836472402833403,-11.92517352165668,14.28850545080882,2_0,(-72.09859299246295+0j),(11.92517352165668+0j),0.13804345482777894
3.351602650938841,,,0_0,,,
3.351602650938841,,,0_1,,,
3.351602650938841,,,0_2,,,
3.351602650938841,-20.005637552468897,20.005637552468897,1_0,,,0.0
3.351602650938841,-11.329447229056637,15.054993023390283,1_1,,,0.2474624723203412
3.351602650938841,-13.147528303444568,15.867243996707069,2_0,(-76.70472324043473+0j),(13.147528303444568+0j),0.14202494227830892
3.7649358067924674,,,0_0,,,
3.7649358067924674,,,0_1,,,
3.7649358067924674,,,0_2,,,
3.7649358067924674,-22.60858587705787,22.60858587705787,1_0,,,0.0
3.7649358067924674,-12.392463479767004,16.738460945099334,1_1,,,0.25964140189392665
