sigma,residues,poles,poly_type,pole_2,res_2,remainder,error_next,rel_error,total_deg
0.1123324032978027,-4.081041606345093,4.081041606345093,1_0,,,0.0,0.0793630900370151,0.5692967828367599,1
0.1123324032978027,-0.757054689458234,1.7577177492298692,1_1,,,0.5692967828367599,-0.0151755494992922,0.2366190166988583,2
0.1123324032978027,-1.6275882396922463,2.3270926661299534,2_0,-5.414617138815893,1.6275882396922463,0.210236276055252,0.0105288913040464,0.1641677559951831,2
0.1232846739442066,,,0_0,,,,0.2445597621919495,1.0,0
0.1232846739442066,,,0_1,,,,0.1389362826756355,1.0,1
0.1232846739442066,,,0_2,,,,0.0638343678849575,1.0,2
0.1232846739442066,-4.088980096468699,4.088980096468699,1_0,,,0.0,0.0791268053922525,0.5695186589739427,1
0.1232846739442066,-0.7577460139421606,1.7602296353567022,1_1,,,0.5695186589739429,-0.0150964033535807,0.236493347608415,2
0.1232846739442066,-1.630133809172641,2.330985117716468,2_0,-5.4217172783237615,1.630133809172641,0.2102665271925371,0.0105049109242327,0.1645651280383112,2
0.1353047774579807,,,0_0,,,,0.2440393324596315,1.0,0
0.1353047774579807,,,0_1,,,,0.1384236782509706,1.0,1
0.1353047774579807,,,0_2,,,,0.0635064111245033,1.0,2
0.1353047774579807,-4.097700112195717,4.097700112195717,1_0,,,0.0,0.078868482463628,0.5697614993342011,1
0.1353047774579807,-0.7585054654489943,1.7629883524491616,1_1,,,0.5697614993342011,-0.0150100907336462,0.2363555185667664,2
0.1353047774579807,-1.6329297495839634,2.3352603743281795,2_0,-5.429517101940197,1.6329297495839634,0.2102996196059339,0.0104785772750016,0.1650003061023018,2
0.1484968262254465,,,0_0,,,,0.2434701679194876,1.0,0
0.1484968262254465,,,0_1,,,,0.1378638964153683,1.0,1
0.1484968262254465,,,0_2,,,,0.0631487945197,1.0,2
0.1484968262254465,-4.107279378600038,4.107279378600038,1_0,,,0.0,0.0785861737486248,0.5700272209908647,1
0.1484968262254465,-0.7593398085221471,1.7660183285835729,1_1,,,0.5700272209908647,-0.0149160217871281,0.2362043788892102,2
0.1484968262254465,-1.6360008945813658,2.339956407512421,2_0,-5.43808622228468,1.6360008945813658,0.2103358097208118,0.0104496595906877,0.165476786535139,2
0.1629750834620644,,,0_0,,,,0.242847915961556,1.0,0
0.1629750834620644,,,0_1,,,,0.1372528874689503,1.0,1
0.1629750834620644,,,0_2,,,,0.0627590775900818,1.0,2
0.1629750834620644,-4.117803506941788,4.117803506941788,1_0,,,0.0,0.0782777771820793,0.5703178900319131,1
0.1629750834620644,-0.7602565370824693,1.7693464992967352,1_1,,,0.5703178900319131,-0.0148135671821571,0.2360386377714745,2
0.1629750834620644,-1.6393746202713326,2.345115058585978,2_0,-5.447501517474246,1.6393746202713326,0.2103753731843642,0.0104179048537702,0.1659983743199033,2
0.1788649529057435,,,0_0,,,,0.2421678776250597,1.0,0
0.1788649529057435,,,0_1,,,,0.136586315223997,1.0,1
0.1788649529057435,,,0_2,,,,0.0623346686373013,1.0,2
0.1788649529057435,-4.1293668252247135,4.1293668252247135,1_0,,,0.0,0.0779410342705711,0.5706357488504644,1
0.1788649529057435,-0.7612638883949336,1.773002494634344,1_1,,,0.5706357488504644,-0.0147020617888259,0.2358569013075355,2
0.1788649529057435,-1.643081060851099,2.350782391712855,2_0,-5.457847622389388,1.643081060851099,0.2104186083709593,0.0103830357176722,0.1665691972806773,2
0.1963040650040271,,,0_0,,,,0.2414249886763703,1.0,0
0.1963040650040271,,,0_1,,,,0.1358595459784365,1.0,1
0.1963040650040271,,,0_2,,,,0.0618728237153385,1.0,2
0.1963040650040271,-4.142073301867264,4.142073301867264,1_0,,,0.0,0.077573520821051,0.5709832184582996,1
0.1963040650040271,-0.7623709536179164,1.7770189568768977,1_1,,,0.5709832184582996,-0.0145808041160769,0.2356576480679086,2
0.1963040650040271,-1.6471534235260776,2.3570091631548857,2_0,-5.469217892642577,1.6471534235260776,0.2104658364474501,0.0103447479801092,0.1671937267273086,2
0.2154434690031884,,,0_0,,,,0.2406138015366975,1.0,0
0.2154434690031884,,,0_1,,,,0.1350676438830583,1.0,1
0.2154434690031884,,,0_2,,,,0.0613706519848666,1.0,2
0.2154434690031884,-4.156037573960543,4.156037573960543,1_0,,,0.0,0.077172642393117,0.5713629124968908,1
0.2154434690031884,-0.763587756021245,1.781431841255935,1_1,,,0.5713629124968909,-0.0144490570576267,0.235439197569381,2
0.2154434690031884,-1.6516283029648815,2.363851306464157,2_0,-5.481715280993006,1.6516283029648815,0.2105174029885065,0.0103027098647191,0.1678768194813974,2
0.2364489412645408,,,0_0,,,,0.2397284685923497,1.0,0
0.2364489412645408,,,0_1,,,,0.1342053682987671,1.0,1
0.2364489412645408,,,0_2,,,,0.0608251158423272,1.0,2
0.2364489412645408,-4.171386093073772,4.171386093073772,1_0,,,0.0,0.0767356296451339,0.5717776465864285,1
0.2364489412645408,-0.7649253550894695,1.786280769772694,1_1,,,0.5717776465864284,-0.0143060564625981,0.2351998227127548,2
0.2364489412645408,-1.656546044622513,2.3713704860695914,2_0,-5.495453388640153,1.656546044622513,0.210573678908457,0.0102565534418938,0.1686236565250652,2
0.2595024211399737,,,0_0,,,,0.23876272753303,1.0,0
0.2595024211399737,,,0_1,,,,0.1332671728791425,1.0,1
0.2595024211399737,,,0_2,,,,0.0602330582556844,1.0,2
0.2595024211399737,-4.18825840336265,4.18825840336265,1_0,,,0.0,0.0762595328201305,0.5722304388439973,1
0.2595024211399737,-0.7663959921310795,1.7916094592143816,1_1,,,0.5722304388439973,-0.0141509946938797,0.2349373434403729,2
0.2595024211399737,-1.6619511729175362,2.379634737932306,2_0,-5.5105577675316,1.6619511729175362,0.2106350601416437,0.0102058905119154,0.1694400186122431,2
0.2848035868435802,,,0_0,,,,0.2377098894931134,1.0,0
0.2848035868435802,,,0_1,,,,0.1322472190337847,1.0,1
0.2848035868435802,,,0_2,,,,0.0595911920609252,1.0,2
0.2848035868435802,-4.206808568765797,4.206808568765797,1_0,,,0.0,0.0757412274709565,0.5727245383633149,1
0.2848035868435802,-0.7680131462184345,1.7974660732365684,1_1,,,0.5727245383633148,-0.0139830583813412,0.2346497510411467,2
