sigma,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,rel_err,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.030538555088334158,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.24863480145084166, 0.14297481984034763, 0.0664340830748268]","[0.0, 0.24863480145084166, 0.14297481984034763, 0.0664340830748268]",0.24863480145084166,1.0,,,,,,,
0.030538555088334158,0,1,[0.2486348 1.       ],[1.],"[1.0, 0.24863480145084166, 0.0, 0.0]","[1, 0.24863480145084166, 0.14297481984034763, 0.0664340830748268]","[0.0, 0.0, 0.14297481984034763, 0.0664340830748268]",0.14297481984034763,1.0,,,,,,,
0.030538555088334158,0,2,[0.14297482 0.2486348  1.        ],[1.],"[1.0, 0.24863480145084166, 0.14297481984034763, 0.0]","[1, 0.24863480145084166, 0.14297481984034763, 0.0664340830748268]","[0.0, 0.0, 0.0, 0.0664340830748268]",0.0664340830748268,1.0,,,,,,,
0.030538555088334158,1,0,[1.],[-0.2486348  1.       ],"[1.0, 0.24863480145084166, 0.06181926449249945, 0.015370420552929665]","[1, 0.24863480145084166, 0.14297481984034763, 0.0664340830748268]","[0.0, 0.0, 0.08115555534784819, 0.05106366252189714]",0.08115555534784819,0.5676213156867081,4.021963112825591,-4.021963112825591,[1],,,0.0,[]
0.030538555088334158,1,1,[-0.32640465  1.        ],[-0.57503945  1.        ],"[1.0, 0.24863480145084166, 0.14297481984034763, 0.08221616197369486]","[1, 0.24863480145084166, 0.14297481984034763, 0.0664340830748268]","[0.0, 0.0, 0.0, -0.015782078898868054]",-0.015782078898868054,0.2375599717556454,1.7390111190801214,-0.7519113396740484,[1],,,0.567621315686708,[0.56762132]
0.030538555088334158,2,0,[1.],[-0.08115556 -0.2486348   1.        ],"[1.0, 0.24863480145084166, 0.14297481984034763, 0.05572661133401972]","[1, 0.24863480145084166, 0.14297481984034763, 0.0664340830748268]","[0.0, 0.0, 0.0, 0.010707471740807085]",0.010707471740807085,0.16117437383378833,2.2981136438066607,-1.6086372767669415,[1],-5.361795487706878,1.6086372767669415,0.21000735767854822,[]
0.033516026509388425,0,0,[1.],[1.],"[1.0, 0.0, 0.0, 0.0]","[1, 0.2485023234025043, 0.14284283824467364, 0.06634873085206305]","[0.0, 0.2485023234025043, 0.14284283824467364, 0.06634873085206305]",0.2485023234025043,1.0,,,,,,,
0.033516026509388425,0,1,[0.24850232 1.        ],[1.],"[1.0, 0.2485023234025043, 0.0, 0.0]","[1, 0.2485023234025043, 0.14284283824467364, 0.06634873085206305]","[0.0, 0.0, 0.14284283824467364, 0.06634873085206305]",0.14284283824467364,1.0,,,,,,,
0.033516026509388425,0,2,[0.14284284 0.24850232 1.        ],[1.],"[1.0, 0.2485023234025043, 0.14284283824467364, 0.0]","[1, 0.2485023234025043, 0.14284283824467364, 0.06634873085206305]","[0.0, 0.0, 0.0, 0.06634873085206305]",0.06634873085206305,1.0,,,,,,,
0.033516026509388425,1,0,[1.],[-0.24850232  1.        ],"[1.0, 0.2485023234025043, 0.06175340473644284, 0.01534586455502126]","[1, 0.2485023234025043, 0.14284283824467364, 0.06634873085206305]","[0.0, 0.0, 0.08108943350823081, 0.051002866297041795]",0.08108943350823081,0.5676828779426363,4.024107244986516,-4.024107244986516,[1],,,0.0,[]
