pole_2,poles,poly_type,remainder,res_2,residues,sigma
,4482.301154835053,1_0,0.0,,-4482.301154835053,83.6751020408163
,2403.143488015117,1_1,0.4638594317959094,,-1288.4227151403852,83.6751020408163
-8061.3735740558595,2880.615518299733,2_0,0.19395536106448366,2122.2574451714718,-2122.2574451714718,83.6751020408163
,,0_0,,,,85.7157142857143
,,0_1,,,,85.7157142857143
,,0_2,,,,85.7157142857143
,4702.362222711526,1_0,0.0,,-4702.362222711526,85.7157142857143
,2523.235986003554,1_1,0.4634109695299952,,-1353.9407513766735,85.7157142857143
-8468.396297799245,3023.4755861408808,2_0,0.19387690959512585,2228.008606321428,-2228.008606321428,85.7157142857143
,,0_0,,,,87.7563265306122
,,0_1,,,,87.7563265306122
,,0_2,,,,87.7563265306122
,4927.72474714079,1_0,0.0,,-4927.72474714079,87.7563265306122
,2649.5805443401223,1_1,0.4623115777971393,,-1424.6487823856369,87.7563265306122
-8903.219890861856,3172.0622223365235,2_0,0.19368421403809194,2338.7915253830583,-2338.7915253830583,87.7563265306122
,,0_0,,,,89.7969387755102
,,0_1,,,,89.7969387755102
,,0_2,,,,89.7969387755102
,5158.388774975707,1_0,0.0,,-5158.388774975707,89.7969387755102
,2782.681845726527,1_1,0.4605521283649987,,-1501.1117991145318,89.7969387755102
-9368.774610307168,3326.7184035422656,2_0,0.1933747165406604,2454.987362897069,-2454.987362897069,89.7969387755102
,,0_0,,,,91.83755102040821
,,0_1,,,,91.83755102040821
,,0_2,,,,91.83755102040821
,5394.354325167921,1_0,0.0,,-5394.354325167921,91.83755102040821
,2923.089563284141,1_1,0.4581205855080445,,-1583.9620610599563,91.83755102040821
-9868.42920793208,3487.817518015313,2_0,0.1929447289357855,2577.0174041373925,-2577.0174041373925,91.83755102040821
,,0_0,,,,93.87816326530607
,,0_1,,,,93.87816326530607
,,0_2,,,,93.87816326530607
,5635.621436265462,1_0,0.0,,-5635.621436265462,93.87816326530607
,3070.6209935387296,1_1,0.4551406569328531,,-1673.0565373477027,93.87816326530607
-10401.766793892992,3655.234822367234,2_0,0.19241414959006192,2704.766011778837,-2704.766011778837,93.87816326530607
,,0_0,,,,95.91877551020409
,,0_1,,,,95.91877551020409
,,0_2,,,,95.91877551020409
,5882.190165067777,1_0,0.0,,-5882.190165067777,95.91877551020409
,3243.682372570067,1_1,0.4485587372143907,,-1788.7003036054589,95.91877551020409
-11072.830876168911,3841.487233831759,2_0,0.1912279005038681,2852.0337396222467,-2852.0337396222467,95.91877551020409
,,0_0,,,,97.959387755102
,,0_1,,,,97.959387755102
,,0_2,,,,97.959387755102
,6134.060471046912,1_0,0.0,,-6134.060471046912,97.959387755102
,3413.078891902262,1_1,0.443585711615956,,-1899.0858628363985,97.959387755102
-11721.015504234205,4026.7214759873937,2_0,0.1903182897024188,2997.0823687593074,-2997.0823687593074,97.959387755102
,,0_0,,,,100.0
,,0_1,,,,100.0
,,0_2,,,,100.0
,6391.232415176317,1_0,0.0,,-6391.232415176317,100.0
