sigma,m,n,p,q,tc,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
24.4973469387755,1,0,[1.],[-0.00246436  1.        ],"[1.0, 0.0024643612441909, 6.073076341870121e-06]",405.78466422373896,-405.78466422373896,[1],,,0.0,[]
24.4973469387755,1,1,[-0.00176061  1.        ],[-0.00422497  1.        ],"[1.0, 0.0024643612441909, 1.041185925291842e-05]",236.68791368843617,-138.05639647164193,[1],,,0.4167154785378171,[0.41671548]
24.4973469387755,2,0,[1.],[-4.33878291e-06 -2.46436124e-03  1.00000000e+00],"[1.0, 0.0024643612441909, 1.0411859252918418e-05]",273.7989220788948,-206.60007011329796,[1],-841.7833764095412,206.60007011329796,0.18519482640880175,[]
26.5379591836735,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
26.5379591836735,0,1,[0.00211746 1.        ],[1.],"[1.0, 0.0021174586300285, 0.0]",,,,,,,
26.5379591836735,0,2,[7.72135872e-06 2.11745863e-03 1.00000000e+00],[1.],"[1.0, 0.0021174586300285, 7.721358720539826e-06]",,,,,,,
26.5379591836735,1,0,[1.],[-0.00211746  1.        ],"[1.0, 0.0021174586300285, 4.483631049882171e-06]",472.26424441951934,-472.26424441951934,[1],,,0.0,[]
26.5379591836735,1,1,[-0.00152906  1.        ],[-0.00364652  1.        ],"[1.0, 0.0021174586300285, 7.721358720539826e-06]",274.23394076948955,-159.2418972187927,[1],,,0.41932097547091995,[0.41932098]
26.5379591836735,2,0,[1.],[-3.23772767e-06 -2.11745863e-03  1.00000000e+00],"[1.0, 0.0021174586300285, 7.721358720539826e-06]",317.81709623650517,-239.4940519502087,[1],-971.812381021651,239.4940519502087,0.18570764407416468,[]
28.5785714285714,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
28.5785714285714,0,1,[0.00183819 1.        ],[1.],"[1.0, 0.0018381875446863, 0.0]",,,,,,,
28.5785714285714,0,2,[5.84240818e-06 1.83818754e-03 1.00000000e+00],[1.],"[1.0, 0.0018381875446863, 5.842408175677492e-06]",,,,,,,
28.5785714285714,1,0,[1.],[-0.00183819  1.        ],"[1.0, 0.0018381875446863, 3.378933449439848e-06]",544.0141311427814,-544.0141311427814,[1],,,0.0,[]
28.5785714285714,1,1,[-0.00134017  1.        ],[-0.00317835  1.        ],"[1.0, 0.0018381875446863, 5.842408175677492e-06]",314.6284014079762,-181.96408016937625,[1],,,0.4216539913272966,[0.42165399]
28.5785714285714,2,0,[1.],[-2.46347473e-06 -1.83818754e-03  1.00000000e+00],"[1.0, 0.0018381875446863, 5.842408175677492e-06]",365.2378607665146,-274.899275180963,[1],-1111.4146025485106,274.899275180963,0.18616382798957665,[]
30.6191836734694,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
30.6191836734694,0,1,[0.0016102 1.       ],[1.],"[1.0, 0.0016101993711042, 0.0]",,,,,,,
30.6191836734694,0,2,[4.49805342e-06 1.61019937e-03 1.00000000e+00],[1.],"[1.0, 0.0016101993711042, 4.498053420765286e-06]",,,,,,,
30.6191836734694,1,0,[1.],[-0.0016102  1.       ],"[1.0, 0.0016101993711042, 2.592742014704361e-06]",621.0411070489032,-621.0411070489032,[1],,,0.0,[]
30.6191836734694,1,1,[-0.00118328  1.        ],[-0.00279348  1.        ],"[1.0, 0.0016101993711042, 4.498053420765286e-06]",357.9769336821805,-206.34299983367356,[1],,,0.42358576651514307,[0.42358577]
30.6191836734694,2,0,[1.],[-1.90531141e-06 -1.61019937e-03  1.00000000e+00],"[1.0, 0.0016101993711042, 4.498053420765286e-06]",416.13502337872745,-312.89767494208434,[1],-1261.2458887113164,312.89767494208434,0.1865394274412058,[]
32.6597959183673,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
32.6597959183673,0,1,[0.00142177 1.        ],[1.],"[1.0, 0.0014217667058174, 0.0]",,,,,,,
32.6597959183673,0,2,[3.51780087e-06 1.42176671e-03 1.00000000e+00],[1.],"[1.0, 0.0014217667058174, 3.5178008650654584e-06]",,,,,,,
32.6597959183673,1,0,[1.],[-0.00142177  1.        ],"[1.0, 0.0014217667058174, 2.0214205657708616e-06]",703.3502725224399,-703.3502725224399,[1],,,0.0,[]
32.6597959183673,1,1,[-0.00105248  1.        ],[-0.00247425  1.        ],"[1.0, 0.0014217667058174, 3.5178008650654584e-06]",404.16349883151906,-232.24293807680837,[1],,,0.42537379365467654,[0.42537379]
32.6597959183673,2,0,[1.],[-1.49638030e-06 -1.42176671e-03  1.00000000e+00],"[1.0, 0.0014217667058174, 3.5178008650654584e-06]",470.43097781279334,-353.40009760843446,[1],-1420.5682567435774,353.40009760843446,0.18688537316692372,[]
34.7004081632653,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
34.7004081632653,0,1,[0.00126431 1.        ],[1.],"[1.0, 0.0012643095965891, 0.0]",,,,,,,
34.7004081632653,0,2,[2.7895871e-06 1.2643096e-03 1.0000000e+00],[1.],"[1.0, 0.0012643095965891, 2.7895871030475544e-06]",,,,,,,
34.7004081632653,1,0,[1.],[-0.00126431  1.        ],"[1.0, 0.0012643095965891, 1.598478756027293e-06]",790.9455110503282,-790.9455110503282,[1],,,0.0,[]
34.7004081632653,1,1,[-9.421018e-04  1.000000e+00],[-0.00220641  1.        ],"[1.0, 0.0012643095965891, 2.7895871030475544e-06]",453.22463500346464,-259.70508322532635,[1],,,0.42698374455452753,[0.42698374]
34.7004081632653,2,0,[1.],[-1.19110835e-06 -1.26430960e-03  1.00000000e+00],"[1.0, 0.0012643095965891, 2.7895871030475544e-06]",528.1516804037158,-396.43504255642557,[1],-1589.6080959783044,396.43504255642557,0.18719547277156004,[]
36.7410204081633,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
36.7410204081633,0,1,[0.00113144 1.        ],[1.],"[1.0, 0.0011314395415794, 0.0]",,,,,,,
36.7410204081633,0,2,[2.23857584e-06 1.13143954e-03 1.00000000e+00],[1.],"[1.0, 0.0011314395415794, 2.238575843034356e-06]",,,,,,,
36.7410204081633,1,0,[1.],[-0.00113144  1.        ],"[1.0, 0.0011314395415794, 1.2801554362494027e-06]",883.8298143655818,-883.8298143655818,[1],,,0.0,[]
36.7410204081633,1,1,[-8.4708053e-04  1.0000000e+00],[-0.00197852  1.        ],"[1.0, 0.0011314395415794, 2.238575843034356e-06]",505.42828160146263,-289.03499711194564,[1],,,0.4281384567635773,[0.42813846]
36.7410204081633,2,0,[1.],[-9.58420407e-07 -1.13143954e-03  1.00000000e+00],"[1.0, 0.0011314395415794, 2.238575843034356e-06]",589.4803108866793,-442.20796092086005,[1],-1770.0056143647678,442.20796092086005,0.18741707936814014,[]
38.7816326530612,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
38.7816326530612,0,1,[0.00101832 1.        ],[1.],"[1.0, 0.0010183242223172, 0.0]",,,,,,,
38.7816326530612,0,2,[1.81561240e-06 1.01832422e-03 1.00000000e+00],[1.],"[1.0, 0.0010183242223172, 1.8156123963604332e-06]",,,,,,,
38.7816326530612,1,0,[1.],[-0.00101832  1.        ],"[1.0, 0.0010183242223172, 1.03698422175793e-06]",982.0055126691349,-982.0055126691349,[1],,,0.0,[]
38.7816326530612,1,1,[-7.6461716e-04  1.0000000e+00],[-0.00178294  1.        ],"[1.0, 0.0010183242223172, 1.8156123963604332e-06]",560.8709349850923,-320.340570040202,[1],,,0.4288515413109852,[0.42885154]
38.7816326530612,2,0,[1.],[-7.78628175e-07 -1.01832422e-03  1.00000000e+00],"[1.0, 0.0010183242223172, 1.8156123963604332e-06]",654.4831417316624,-490.7921863866025,[1],-1962.3271878799587,490.7921863866025,0.18755359562473312,[]
40.8222448979592,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
40.8222448979592,0,1,[9.21256147e-04 1.00000000e+00],[1.],"[1.0, 0.00092125614712637, 0.0]",,,,,,,
40.8222448979592,0,2,[1.48733367e-06 9.21256147e-04 1.00000000e+00],[1.],"[1.0, 0.00092125614712637, 1.487333672011892e-06]",,,,,,,
40.8222448979592,1,0,[1.],[-9.21256147e-04  1.00000000e+00],"[1.0, 0.00092125614712637, 8.487128886181239e-07]",1085.4744395673797,-1085.4744395673797,[1],,,0.0,[]
40.8222448979592,1,1,[-6.93206537e-04  1.00000000e+00],[-0.00161446  1.        ],"[1.0, 0.00092125614712637, 1.487333672011892e-06]",619.4011232733013,-353.44706197332096,[1],,,0.4293729076474926,[0.42937291]
40.8222448979592,2,0,[1.],[-6.38620783e-07 -9.21256147e-04  1.00000000e+00],"[1.0, 0.00092125614712637, 1.487333672011892e-06]",723.0575702958562,-542.0714290503223,[1],-2165.629079213272,542.0714290503223,0.18765324689766405,[]
42.8628571428571,0,0,[1.],[1.],"[1.0, 0.0, 0.0]",,,,,,,
42.8628571428571,0,1,[8.37353992e-04 1.00000000e+00],[1.],"[1.0, 0.00083735399222628, 0.0]",,,,,,,
42.8628571428571,0,2,[1.22862038e-06 8.37353992e-04 1.00000000e+00],[1.],"[1.0, 0.00083735399222628, 1.2286203795726554e-06]",,,,,,,
42.8628571428571,1,0,[1.],[-8.37353992e-04  1.00000000e+00],"[1.0, 0.00083735399222628, 7.011617082972889e-07]",1194.23805139006,-1194.23805139006,[1],,,0.0,[]
