,sigma,residues,poles,poly_type,pole_2,res_2,remainder
137,44.9034693877551,-653.8378503991623,871.9219379496928,2_0,-2614.108952322377,653.8378503991623,0.1875593966260388
138,46.9440816326531,,,0_0,,,
139,46.9440816326531,,,0_1,,,
140,46.9440816326531,,,0_2,,,
141,46.9440816326531,-1427.6537778230145,1427.6537778230145,1_0,,,0.0
142,46.9440816326531,-448.6515855837912,800.3243911596003,1_1,,,0.4394128299229589
143,46.9440816326531,-702.0457584625357,941.2391393217424,2_0,-2762.588760132584,702.0457584625357,0.1895459987668341
144,48.984693877551,,,0_0,,,
145,48.984693877551,,,0_1,,,
146,48.984693877551,,,0_2,,,
147,48.984693877551,-1552.3076041313536,1552.3076041313536,1_0,,,0.0
148,48.984693877551,-507.8233728633162,887.8615225649536,1_1,,,0.4280376388017589
149,48.984693877551,-776.7883888241855,1035.4356595174854,2_0,-3109.6960564545816,776.7883888241855,0.1873977576710182
150,51.025306122449,,,0_0,,,
151,51.025306122449,,,0_1,,,
152,51.025306122449,,,0_2,,,
153,51.025306122449,-1682.259627238396,1682.259627238396,1_0,,,0.0
154,51.025306122449,-550.482895604695,962.3175935007462,1_1,,,0.4279613099432872
155,51.025306122449,-841.9158966813047,1122.2049410556187,2_0,-3370.8138015815184,841.9158966813047,0.1873831258908013
156,53.0659183673469,,,0_0,,,
157,53.0659183673469,,,0_1,,,
158,53.0659183673469,,,0_2,,,
159,53.0659183673469,-1817.5103677983825,1817.5103677983825,1_0,,,0.0
160,53.0659183673469,-594.1038253167393,1039.1293769602769,1_1,,,0.4282677032434139
161,53.0659183673469,-909.1778974581,1212.049265666823,2_0,-3638.40401782442,909.1778974581,0.1874418418898151
162,55.1065306122449,,,0_0,,,
163,55.1065306122449,,,0_1,,,
164,55.1065306122449,,,0_2,,,
165,55.1065306122449,-1958.0602602715512,1958.0602602715512,1_0,,,0.0
166,55.1065306122449,-638.2092655403486,1117.8784373050812,1_1,,,0.42908884880282
167,55.1065306122449,-978.2546641360713,1304.6840216953688,2_0,-3909.921702478776,978.2546641360713,0.1875989702540743
168,57.1471428571429,,,0_0,,,
169,57.1471428571429,,,0_1,,,
170,57.1471428571429,,,0_2,,,
171,57.1471428571429,-2103.909666383165,2103.909666383165,1_0,,,0.0
172,57.1471428571429,-682.7286885012792,1198.498847414941,1_1,,,0.4303468126199151
173,57.1471428571429,-1049.0978028485283,1400.0645605398445,2_0,-4185.024997724406,1049.0978028485283,0.1878390295991189
174,59.1877551020408,,,0_0,,,
175,59.1877551020408,,,0_1,,,
176,59.1877551020408,,,0_2,,,
177,59.1877551020408,-2255.058740914669,2255.058740914669,1_0,,,0.0
178,59.1877551020408,-726.9142574707874,1280.325876566195,1_1,,,0.4322427822669998
179,59.1877551020408,-1121.2033217907317,1497.73880355766,2_0,-4459.791448719765,1121.2033217907317,0.1881993501186371
180,61.2283673469388,,,0_0,,,
181,61.2283673469388,,,0_1,,,
182,61.2283673469388,,,0_2,,,
183,61.2283673469388,-2411.5081951021566,2411.5081951021566,1_0,,,0.0
184,61.2283673469388,-771.052428713887,1363.5979065314525,1_1,,,0.4345456054012341
185,61.2283673469388,-1194.75959948913,1597.8694481126531,2_0,-4735.855172930616,1194.75959948913,0.188634598277235
186,63.2689795918367,,,0_0,,,
187,63.2689795918367,,,0_1,,,
188,63.2689795918367,,,0_2,,,
189,63.2689795918367,-2573.2577988057305,2573.2577988057305,1_0,,,0.0
190,63.2689795918367,-814.8109732451327,1448.005073007524,1_1,,,0.4372872109123482
191,63.2689795918367,-1269.5381957959942,1700.245897936292,2_0,-5011.582330544126,1269.5381957959942,0.1891493871087076
192,65.3095918367347,,,0_0,,,
193,65.3095918367347,,,0_1,,,
194,65.3095918367347,,,0_2,,,
195,65.3095918367347,-2740.307884836558,2740.307884836558,1_0,,,0.0
196,65.3095918367347,-859.3789424320478,1534.5888348378671,1_1,,,0.4399940082172935
197,65.3095918367347,-1346.3357785825726,1805.5768271220584,2_0,-5293.326219563789,1346.3357785825726,0.1896540591875128
198,67.3502040816327,,,0_0,,,
199,67.3502040816327,,,0_1,,,
200,67.3502040816327,,,0_2,,,
201,67.3502040816327,-2912.658614310624,2912.658614310624,1_0,,,0.0
202,67.3502040816327,-902.9220452182346,1621.697774881577,1_1,,,0.4432242189614092
203,67.3502040816327,-1423.9092185011211,1912.7391112775613,2_0,-5571.604546658418,1423.9092185011211,0.1902517152577951
204,69.3908163265306,,,0_0,,,
205,69.3908163265306,,,0_1,,,
206,69.3908163265306,,,0_2,,,
207,69.3908163265306,-3090.310138023613,3090.310138023613,1_0,,,0.0
208,69.3908163265306,-947.386801319906,1711.0578706603314,1_1,,,0.4463151611848813
209,69.3908163265306,-1503.568895390786,2022.9066402689348,2_0,-5856.650190718354,1503.568895390786,0.1908189670614245
210,71.4314285714286,,,0_0,,,
211,71.4314285714286,,,0_1,,,
212,71.4314285714286,,,0_2,,,
213,71.4314285714286,-3273.262555797397,3273.262555797397,1_0,,,0.0
214,71.4314285714286,-992.0439702490268,1802.004545366278,1_1,,,0.449477542773133
215,71.4314285714286,-1584.8176871136664,2135.627298690368,2_0,-6144.73648409813,1584.8176871136664,0.1913946933597116
216,73.4720408163265,,,0_0,,,
217,73.4720408163265,,,0_1,,,
218,73.4720408163265,,,0_2,,,
219,73.4720408163265,-3461.515997428572,3461.515997428572,1_0,,,0.0
