,sigma,residues,poles,poly_type,pole_2,res_2,remainder,error_next,rel_error
1974,19.72774774774775,-23.296427928480725,23.296427928480725,1_0,,,0.0,0.0036816205307399,0.6664556642693401
1975,19.72774774774775,-2.5917700973519557,7.7703915783022985,1_1,,,0.6664556642693399,-8.574263055696903e-05,0.1371478067138277
1976,19.72774774774775,-3.811072661001816,8.836083740574056,1_2,,,0.5166734237085568,,
1977,19.72774774774775,-7.7687530444008175,11.651900277100566,2_0,(-23.311177847831793+0j),(7.7687530444008175+0j),0.22219877256347398,0.0002300248351719,0.3679313479026507
1978,19.72774774774775,-3.6830247517714163,8.759546271804181,2_1,(-114.19575071712646+0j),(66.1811888451143+0j),0.5382540684771998,,
1979,19.72774774774775,-5.481731388407615,9.850878012684367,3_0,(-12.928097780095129+16.558410431497073j),(2.7408656942038077-3.7705378519164743j),0.15745063727556877,,
1980,19.82783783783784,,,0_0,,,,0.0427260822123698,1.0
1981,19.82783783783784,,,0_1,,,,0.0054742770714442,1.0
1982,19.82783783783784,,,0_2,,,,0.0006168768334527,1.0
1983,19.82783783783784,,,0_3,,,,,
1984,19.82783783783784,-23.404907452770992,23.404907452770992,1_0,,,0.0,0.003648758970226,0.6665280040828144
1985,19.82783783783784,-2.6027093125050547,7.804881202532555,1_1,,,0.6665280040828144,-8.451463291169359e-05,0.1370040635805038
1986,19.82783783783784,-3.825707095960601,8.874181643042604,1_2,,,0.5169483341067102,,
1987,19.82783783783784,-7.803799407593406,11.7048875963956,2_0,(-23.414644958012506+0j),(7.803799407593406+0j),0.22220681313179647,0.0002270852455098,0.3681208844217322
1988,19.82783783783784,-3.6974554599275646,8.797490491208807,2_1,(-114.85803665296629+0j),(66.58489840252442+0j),0.5384708628906683,,
1989,19.82783783783784,-5.505594110741092,9.894806094653267,3_0,(-12.98130010222617+16.629212631816582j),(2.752797055370546-3.786906762899115j),0.15746331963913326,,
1990,19.92792792792793,,,0_0,,,,0.0425288998186779,1.0
1991,19.92792792792793,,,0_1,,,,0.005425028795203,1.0
1992,19.92792792792793,,,0_2,,,,0.0006087126010548,1.0
1993,19.92792792792793,,,0_3,,,,,
1994,19.92792792792793,-23.513422737562063,23.513422737562063,1_0,,,0.0,0.0036163214754158,0.6665994987185205
1995,19.92792792792793,-2.61365553138349,7.83938692754653,1_1,,,0.6665994987185205,-8.330947227088218e-05,0.1368617507285382
1996,19.92792792792793,-3.840354486333284,8.912299147088964,1_2,,,0.5172202276817459,,
1997,19.92792792792793,-7.838860478098221,11.757895840276497,2_0,(-23.51816110092711+0j),(7.838860478098221+0j),0.2222147586155575,0.00022419392117,0.3683083293849719
1998,19.92792792792793,-3.711897614367453,8.83545363105956,2_1,(-115.52065612736588+0j),(66.98881319154258+0j),0.5386853393988864,,
1999,19.92792792792793,-5.529469071490793,9.93875352591687,3_0,(-13.034540743636805+16.700055650157935j),(2.764734535745396-3.8032843361378963j),0.15747585497423075,,
2000,20.028018018018017,,,0_0,,,,0.0423334657046736,1.0
2001,20.028018018018017,,,0_1,,,,0.0053764233117028,1.0
2002,20.028018018018017,,,0_2,,,,0.00060068842113,1.0
2003,20.028018018018017,,,0_3,,,,,
2004,20.028018018018017,-23.621973380969855,23.621973380969855,1_0,,,0.0,0.003584300993134,0.6666701606869602
2005,20.028018018018017,-2.6246086855154545,7.873908591335586,1_1,,,0.6666701606869602,-8.21266318182896e-05,0.1367208504931642
2006,20.028018018018017,-3.8550147159956003,8.950436070648419,1_2,,,0.5174891466282764,,
2007,20.028018018018017,-7.873936103220373,11.810924788636008,2_0,(-23.621725774871898+0j),(7.873936103220373+0j),0.2222226104453428,0.0002213499060821,0.3684937120408569
2008,20.028018018018017,-3.7263511161889666,8.873435516009351,2_1,(-116.18360260025379+0j),(67.39292885825117+0j),0.5388975292665835,,
2009,20.028018018018017,-5.553356150568305,9.982720112262108,3_0,(-13.08781931508301+16.770939084669653j),(2.7766780752841522-3.8196704841319624j),0.15748824548322568,,
2010,20.12810810810811,,,0_0,,,,0.0421397574561499,1.0
2011,20.12810810810811,,,0_1,,,,0.0053284497707518,1.0
2012,20.12810810810811,,,0_2,,,,0.0005928014913708,1.0
2013,20.12810810810811,,,0_3,,,,,
2014,20.12810810810811,-23.730558986738053,23.730558986738053,1_0,,,0.0,0.0035526906122886,0.6667400022778865
2015,20.12810810810811,-2.635568707231242,7.908446033864805,1_1,,,0.6667400022778865,-8.096548483853521e-05,0.1365811085449698
2016,20.12810810810811,-3.8696852501962464,8.988590360038131,1_2,,,0.5177554124327661,,
2017,20.12810810810811,-7.909026132207859,11.863974224214742,2_0,(-23.725338484415065+0j),(7.909026132207859+0j),0.22223037002594473,0.0002185523896954,0.3686771927480717
2018,20.12810810810811,-3.740813944560672,8.91143437000701,2_1,(-116.84706898118793+0j),(67.79737317721975+0j),0.5391076656493586,,
2019,20.12810810810811,-5.577254507723673,10.026704967158425,3_0,(-13.141130489665473+16.841859673909642j),(2.7886272538618364-3.8360643431776125j),0.15750050329731569,,
2020,20.2281981981982,,,0_0,,,,0.0419477530293482,1.0
2021,20.2281981981982,,,0_1,,,,0.00528109754475,1.0
2022,20.2281981981982,,,0_2,,,,0.0005850485861715,1.0
2023,20.2281981981982,,,0_3,,,,,
2024,20.2281981981982,-23.83917916414648,23.83917916414648,1_0,,,0.0,0.0035214835605388,0.666809035564881
2025,20.2281981981982,-2.6465355296512216,7.942999097043558,1_1,,,0.6668090355648811,-7.982591277130619e-05,0.1364432196882639
2026,20.2281981981982,-3.8843732473927184,9.026767467825158,1_2,,,0.5180182244495823,,
2027,20.2281981981982,-7.944130416221669,11.917043932557023,2_0,(-23.82899874030003+0j),(7.944130416221669+0j),0.22223803873691073,0.000215800087946,0.3688584043219599
2028,20.2281981981982,-3.755291781221812,8.949454837778735,2_1,(-117.51044988145814+0j),(68.20174508921794+0j),0.5393151706118848,,
2029,20.2281981981982,-5.601166194258749,10.070709988830684,3_0,(-13.1944887418941+16.91282563386849j),(2.8005830971293735-3.8524681639327203j),0.15751260058094066,,
2030,20.328288288288288,,,0_0,,,,0.0417574307435409,1.0
2031,20.328288288288288,,,0_1,,,,0.0052343562244386,1.0
2032,20.328288288288288,,,0_2,,,,0.0005774272912578,1.0
2033,20.328288288288288,,,0_3,,,,,
2034,20.328288288288288,-23.94783352792081,23.94783352792081,1_0,,,0.0,0.0034906732021369,0.66687727247898
2035,20.328288288288288,-2.6575090855705685,7.9775676230403105,1_1,,,0.66687727247898,-7.870706845869576e-05,0.1363064573675579
2036,20.328288288288288,-3.8990713455333657,9.064961604147063,1_2,,,0.5182784615750128,,
2037,20.328288288288288,-7.97924880720224,11.97013370072505,2_0,(-23.932706054383665+0j),(7.97924880720224+0j),0.22224561794076053,0.0002130924792422,0.3690377688557772
2038,20.328288288288288,-3.769778769169453,8.98749194766802,2_1,(-118.17433614567457+0j),(68.6064359954831+0j),0.5395206802557355,,
2039,20.328288288288288,-5.625088931805039,10.114732907859175,3_0,(-13.247878889071128+16.983827992993444j),(2.8125444659025196-3.868879533259096j),0.1575245692851128,,
2040,20.42837837837838,,,0_0,,,,0.0415687692737864,1.0
2041,20.42837837837838,,,0_1,,,,0.0051882156092786,1.0
2042,20.42837837837838,,,0_2,,,,0.0005699347661913,1.0
2043,20.42837837837838,,,0_3,,,,,
2044,20.42837837837838,-24.05652169814438,24.05652169814438,1_0,,,0.0,0.0034602530303413,0.6669447245316865
2045,20.42837837837838,-2.66848931193219,8.012151460984938,1_1,,,0.6669447245316864,-7.760861020922674e-05,0.1361710406400742
2046,20.42837837837838,-3.913781844672583,9.103174463193149,1_2,,,0.5185358844438062,,
2047,20.42837837837838,-8.014381162327787,12.023243322305365,2_0,(-24.03645995972744+0j),(8.014381162327787+0j),0.2222531089522595,0.0002104285687393,0.3692151825472805
2048,20.42837837837838,-3.784276729992371,9.025547130514127,2_1,(-118.83852325717652+0j),(69.01131038180895+0j),0.539724022335305,,
